,Name,Age,Gender,Net_Worth,Region,Company
226,Tadashi Yanai,52.0,male,4.8,East Asia,Fast Retailing/Uniqlo
923,Karl Wlaschek,96.0,male,4.8,Europe,BILLA
225,Gunter Herz,60.0,male,4.8,Europe,Maxingvest AG
929,Zhang Zhidong,42.0,male,4.8,East Asia,Tencent
928,Whitney MacMillan,85.0,male,4.8,North America,Cargill
927,Robert Ziff,47.0,male,4.8,North America,Ziff Davis Inc
110,John Walton,50.0,male,4.8,North America,Walmart
925,Liselott Persson,64.0,female,4.8,Europe, H&M
924,Laurence Graff,75.0,male,4.8,Europe,Graff Diamonds
926,Pauline MacMillan Keinath,80.0,female,4.8,North America,Cargill
922,Juan Roig,64.0,male,4.8,Europe,Mercadona
917,Ann Walton Kroenke,65.0,female,4.8,North America,Walmart
921,Gwendolyn Sontheim Meyer,52.0,female,4.8,North America,Cargill
916,Abdulla bin Ahmad Al Ghurair,,male,4.8,Middle East/North Africa,Al-Ghurair Group
113,Jim Walton,48.0,male,4.8,North America,Walmart
918,Bruce Kovner,69.0,male,4.8,North America,Caxton Associates
919,Daniel Ziff,42.0,male,4.8,North America,Ziff Davis Inc
920,Dirk Ziff,49.0,male,4.8,North America,Ziff Davis Inc
968,Andrew Tan,61.0,male,4.7,East Asia,Alliance Global Group
231,Rolf Gerling,46.0,male,4.7,Europe,Gerling Konzern
971,Horst Paulmann,79.0,male,4.7,Latin America,Hipermercados Jumbo
972,Sergio Mantegazza,86.0,male,4.7,Europe,Globus
973,Shari Arison,56.0,female,4.7,Middle East/North Africa,Carnival Corporation
122,S Robson Walton,52.0,male,4.7,North America,Walmart
121,Alice Walton,47.0,female,4.7,North America,Walmart
116,Helen Walton,76.0,female,4.7,North America,Walmart
969,Arnon Milchan,69.0,male,4.7,Middle East/North Africa,New Regency Films
970,Frank Lowy,83.0,male,4.7,North America,Westfield Group
130,Masayoshi Son,38.0,male,4.6,East Asia,Softbank
235,Dieter von Holtzbrinck,59.0,male,4.6,Europe,Holtzbrinck
236,Edward Johnson,70.0,male,4.6,North America,Fidelity Investments
237,Spiro Latsis,54.0,male,4.6,Europe,EFG International
982,Pierre Bellon,84.0,male,4.6,Europe,Sodexo
981,Mike Adenuga,60.0,male,4.6,Sub-Saharan Africa,Conoil/Globacom
980,Diane Hendricks,67.0,female,4.6,North America,ABC Supply
127,Henkel family,,,4.6,Europe,Henkel AG
245,Masatoshi Ito,76.0,male,4.5,East Asia,Ito-Yokado
250,Samuel Johnson,72.0,male,4.5,North America,S. C. Johnson & Son
986,David Sun,62.0,male,4.5,North America,Kingston Technology
248,Pierre Omidyar,33.0,male,4.5,North America,Ebay
247,Nicky Oppenheimer,55.0,male,4.5,Sub-Saharan Africa,De Beers
246,Michael Bloomberg,58.0,male,4.5,North America,Bloomberg
987,Dieter Schnabel,68.0,male,4.5,Europe,Helm AG
244,Marvin Davis,75.0,male,4.5,North America,Davis Petroleum
131,Friedrich Flick,69.0,male,4.5,Europe,Friedrich Flick Industrial Holding
243,Lorenzo Mendoza,35.0,male,4.5,Latin America,Empresas Polar
137,Pierre Landolt,,male,4.5,Europe,AxialPar
141,Donald Newhouse,66.0,male,4.5,North America,Advance Publications
143,Samuel Newhouse,68.0,male,4.5,North America,Advance Publications
134,Liem Sioe Liong,,male,4.5,East Asia,Salim Group
249,Reinhard Mohn,79.0,male,4.5,Europe,Bertelsmann
995,Michael Herz,70.0,male,4.5,Europe,Maxingvest AG
988,James Dyson,66.0,male,4.5,Europe,Dyson
997,Wolfgang Herz,63.0,male,4.5,Europe,Maxingvest AG
989,Jay Y. Lee,45.0,male,4.5,East Asia,Samsung
990,John A. Sobrato,74.0,male,4.5,North America,Sobrato Organization
991,John Tu,73.0,male,4.5,North America,Kingston Technology
992,Kirk Kerkorian,96.0,male,4.5,North America,MGM Grand
993,Lynn Schusterman,75.0,female,4.5,North America,Samson Investment Company
994,Majid Al Futtaim,,male,4.5,Middle East/North Africa,Majid Al Futtaim
996,Trevor Rees-Jones,62.0,male,4.5,North America,Chief Oil and Gas 
267,James Arthur and John Irving,,male,4.4,North America,J.D. Irving
1039,Kelcy Warren,58.0,male,4.4,North America,Energy Transfer Partners
1038,Guenter Herz & Family,73.0,male,4.4,Europe,Maxingvest AG
268,Rudolf Oetker,,male,4.4,Europe,Oetker-Gruppe
1037,Barbara Carlson Gage,71.0,female,4.4,North America,Carlson Inc
1041,Marilyn Carlson Nelson,74.0,female,4.4,North America,Carlson Inc
1040,Luo Jye,88.0,male,4.4,East Asia,Maxxis
1050,Lee Shin Cheng,74.0,male,4.3,East Asia,IOI Group
1052,"Paul Tudor Jones, II.",59.0,male,4.3,North America,Tudor Investment Corporation
1051,Liang Wengen,57.0,male,4.3,East Asia,Sany Heavy Industry
274,Maurice Greenberg,75.0,male,4.3,North America,AIG
1055,Wang Chuanfu,48.0,male,4.3,East Asia,BYD Company
275,Philip Knight,63.0,male,4.3,North America,Nike
1054,Samvel Karapetyan,48.0,male,4.3,Europe,Tashir Group
1053,Sam Zell,72.0,male,4.3,North America,Equity Group Investments
1047,Dan Olsson,67.0,male,4.3,Europe,Stena Sphere
1048,Emanuele (Lino) Saputo,77.0,male,4.3,North America,Saputo Inc
1049,Guo Guangchang,47.0,male,4.3,East Asia,Fosun Group
273,Lee Bass,44.0,male,4.3,North America,Sid Richardson Gasoline Co
282,Fukuzo Iwasaki,76.0,male,4.2,East Asia,Iwasaki Sangyo Group
1067,Elizabeth Mohn,73.0,female,4.2,Europe,Bertelsmann
146,Dhanin Chearavanont,56.0,male,4.2,East Asia,Charoen Pokphand (CP Group)
1077,William Ding,42.0,male,4.2,East Asia,NetEase
1070,Jeronimo Arango,88.0,male,4.2,Latin America,Aurrera
1071,Leonard Stern,75.0,male,4.2,North America,Hartz Group
1073,Malcolm Glazer,85.0,male,4.2,North America,First Allied Corporation
1075,Ted Lerner,88.0,male,4.2,North America,Lerner Enterprises
1068,Enrique Razon,54.0,male,4.2,East Asia,International Containter Terminal Services
1065,Akira Mori,77.0,male,4.2,East Asia,Mori Building
1066,Bernard Ecclestone,83.0,male,4.2,Europe,Formula One Group
1072,Lin Rong San,74.0,male,4.2,East Asia,Union Bank of Taiwan
1074,Ralph Dommermuth,50.0,male,4.2,Europe,United Internet
1076,Wang Wenyin,46.0,male,4.2,East Asia,Amer International Group
1069,Friede Springer,71.0,female,4.2,Europe,Axel Sbringer AG
287,Patrick Wang,50.0,male,4.1,East Asia,Johnson Electric
1117,Beny Steinmetz,57.0,male,4.1,Middle East/North Africa,Steinmetz Diamond Group and BSGR
1121,Nancy Walton Laurie,62.0,female,4.1,North America,Walmart
1118,Eduardo Saverin,31.0,male,4.1,Latin America,Facebook
1115,Anthony Bamford,68.0,male,4.1,Europe,JCB
1120,Ingvar Kamprad,87.0,male,4.1,Europe,IKEA
1119,Francisco Ivens de Sa Dias Branco,77.0,male,4.1,Latin America,M. Dias Branco S.A.
1122,Shahid Khan,63.0,male,4.1,North America,Flex-N-Gate
286,Micky Arison,51.0,male,4.1,North America,Carnival Corporation
150,Boehringer family,,,4.1,Europe,Poehringer Ingelheim
152,David Sainsbury,55.0,male,4.1,Europe,Sainsbury's
1116,Barry Lam,64.0,male,4.1,East Asia,Quanta Computer
1137,Gustaf Douglas,76.0,male,4.0,Europe,Investment AB Latour
1132,Bertil Hult,73.0,male,4.0,Europe,EF Education
165,Mustafa Rahmi Koc,65.0,male,4.0,Middle East/North Africa,Koc Holding
167,Barbara Cox Anthony,72.0,female,4.0,North America,Cox Enterprises
1133,Chairul Tanjung,51.0,male,4.0,East Asia,Para Group (aka CT Corp)
297,Ty Warner,57.0,male,4.0,North America,Ty Inc.
1131,Arkady Rotenberg,62.0,male,4.0,Europe,"SGM Group, Mostotrest, TPS Avia"
172,Anne Cox Chambers,76.0,female,4.0,North America,Cox Enterprises
298,Walter Annenberg,,male,4.0,North America,Philadelphia Inquirer
296,Galen Weston,60.0,male,4.0,North America,George Weston Limited
295,Erivan Haub,68.0,male,4.0,Europe,Tenglemann Group
1135,David & Frederick Barclay,80.0,male,4.0,Europe,Press Holdings
293,Alfred Heineken,,male,4.0,Europe,Heineken International
176,Ronald Perelman,53.0,male,4.0,North America,MacAnderws and Forbes Holdings
294,Donald Bren,68.0,male,4.0,North America,Irvine Company
155,Seydoux/Schlumberger families,,,4.0,Europe,Schlumberger Well Services
1134,Curt Engelhorn,87.0,male,4.0,Europe,BASF/Boehringer Mannheim/DePuy
1141,Lei Jun,44.0,male,4.0,East Asia,Xiaomi Tech
161,Fukuzo Iwasaki,71.0,male,4.0,East Asia,Iwasaki Sangyo Group
1143,Wang Wei,,male,4.0,East Asia,S.F. Express
1142,Randal Kirk,60.0,male,4.0,North America,General Injectables and Vaccines/Third Security LLC
158,Masatoshi Ito,71.0,male,4.0,East Asia,Ito-Yokado
1140,Lars Larsen,65.0,male,4.0,Europe,JYSK
1139,John Morris,65.0,male,4.0,North America,Bass Pro Shops
1136,Erich Kellerhals,75.0,male,4.0,Europe,Media Markt
1138,Gustavo Cisneros,68.0,male,4.0,Latin America,Cisneros Group
1197,Riley Bechtel,61.0,male,3.9,North America,Bechtel Corporation
1192,Daniel Och,53.0,male,3.9,North America,Och-Ziff Capital Management Group
1193,Donald Trump,67.0,male,3.9,North America,The Trump Organization
177,Akira Mori,66.0,male,3.9,East Asia,Mori Building
1194,Heinz-Georg Baus,80.0,male,3.9,Europe,Bauhaus
1195,"John Gokongwei, Jr.",86.0,male,3.9,East Asia,JG Summit Holdings
1196,Martha Ingram,78.0,female,3.9,North America,Ingram Industries
1191,Bernard (Barry) Sherman,72.0,male,3.9,North America,Empire Laboratories
1198,"Stephen Bechtel, Jr.",88.0,male,3.9,North America,Bechtel Corporation
1214,Peter Hargreaves,67.0,male,3.8,Europe,Hargreaves Lansdown
1207,Alain Merieux,76.0,male,3.8,Europe,Institut Merieux
1213,Odd Reitan,62.0,male,3.8,Europe,Reitan Group
1216,Uday Kotak,54.0,male,3.8,South Asia,Kotak Mahindra Bank
1217,Walter Faria,58.0,male,3.8,Latin America,Grupo Petropolis
315,Tsai Wan-lin,76.0,male,3.8,East Asia,Lin Yuan Group
314,Sid Bass,58.0,male,3.8,North America,Sid Richardson Gasoline Co
187,Brenninkmeijer family,,,3.8,Europe,C&A
186,Madeleine Schickedanz,52.0,female,3.8,Europe,Quelle Versand
182,Otto Beisheim,72.0,male,3.8,Europe,Metro AG
313,Leonard Lauder,67.0,male,3.8,North America,Est?Lauder
312,Jon Huntsman,63.0,male,3.8,North America,Huntsman chemical
311,Henry Ross Perot Sr,,male,3.8,North America,Electronic Data Systems
1218,William Koch,73.0,male,3.8,North America,Koch industries
1212,Mitchell Rales,57.0,male,3.8,North America,Danaher
1211,Mark Shoen,62.0,male,3.8,North America,U-haul
1210,Jeffrey Skoll,49.0,male,3.8,North America,Ebay
1209,Andreas von Bechtolsheim,58.0,male,3.8,Europe,Sun Microsystems
1208,Alexander Abramov,55.0,male,3.8,Europe,EvrazHolding
1215,Steve Wynn,72.0,male,3.8,North America,Wynn Resorts (formarly Mirage Resorts)
1243,Martin & Olivier Bouygues,,male,3.7,Europe,Bouygues S.A.
1242,Karen Pritzker,56.0,female,3.7,North America,Hyatt
188,Gordon Moore,67.0,male,3.7,North America,Intel 
324,Carl Icahn,65.0,male,3.7,North America,Icahn Enterprises
1232,Axel Oberwelland,47.0,male,3.7,Europe,Storck
1233,Charles Dolan,87.0,male,3.7,North America,Cablevision and HBO
1251,Zhang Xin,48.0,female,3.7,East Asia,SOHO China
1250,Zhang Jindong,50.0,male,3.7,East Asia,Suning Group
1234,Daniel Gilbert,52.0,male,3.7,North America,Quicken Loans
1235,Gong Hongjia,49.0,male,3.7,East Asia,Hikvision
1236,Guenther Fielmann,74.0,male,3.7,Europe,Fielmann AG
1249,Wu Yajun,50.0,female,3.7,East Asia,Longfor Properties
1248,Ronald Lauder,70.0,male,3.7,North America,Est?Lauder
1247,Niels Peter Louis-Hansen,66.0,male,3.7,Europe,Coloplast
1237,Igor Kesaev,47.0,male,3.7,Europe,Mercury Company
1238,Isabel dos Santos,40.0,female,3.7,Sub-Saharan Africa,Unitel Interneational Holdings
1246,Nathan Kirsh,82.0,male,3.7,Sub-Saharan Africa,Jetro Holdings
1245,Murat Ulker,54.0,male,3.7,Middle East/North Africa,Yildiz Holding
1239,Jiang Bin,47.0,male,3.7,East Asia,GoerTek
1244,Michael Stoschek,66.0,male,3.7,Europe,Brose
1240,John Sall,65.0,male,3.7,North America,SAS institute
1241,Joseph Tsai,50.0,male,3.7,North America,Alibaba
325,Mehmet Karamehmet,56.0,male,3.7,Middle East/North Africa,Cukurova Holding
326,Nina Wang,,female,3.7,East Asia,Chinachem Group
327,Robert Kuok,78.0,male,3.7,East Asia,Shangri-La Hotels
328,Sanjiv Sidhu,,male,3.7,North America,i2 Technologies
194,Walter Annenberg,,male,3.7,North America,Philadelphia Inquirer
196,Steven Ballmer,39.0,male,3.7,North America,Microsoft
1231,Aloys Wobben,62.0,male,3.7,Europe,Enercon
1298,Vanich Chaiyawan,,male,3.7,East Asia,Thai Life
329,Shari Arison,43.0,female,3.7,Middle East/North Africa,Carnival Corporation
1300,God Nisanov,41.0,male,3.6,Europe,Kiyevskaya Ploshad
1301,Ian & Richard Livingstone,,male,3.6,Europe,London & Regional Properties
1302,J. Christopher Reyes,60.0,male,3.6,North America,Reyes Holdings
1303,Jan Kulczyk,64.0,male,3.6,Europe,Kulczyk Investments
1304,Jerry Speyer,73.0,male,3.6,North America,Tishman Speyer
1299,David Shaw,62.0,male,3.6,North America,D.E. Shaw & Co
1307,Michael Platt,45.0,male,3.6,Europe,BlueCrest Capital Management
1308,Reid Hoffman,46.0,male,3.6,North America,LinkedIn
1309,Sheldon Solow,85.0,male,3.6,North America,Solow Building Company
1310,Steven Rales,62.0,male,3.6,North America,Danaher
1311,Steven Udvar-Hazy,68.0,male,3.6,North America,International Lease Finance Corporation
1312,Zarakh Iliev,47.0,male,3.6,Europe,
1313,Zhang Shiping,67.0,male,3.6,East Asia,China Hongqiao
1305,Jude Reyes,58.0,male,3.6,North America,Reyes Holdings
1306,Maria-Elisabeth Schaeffler,72.0,female,3.6,Europe,Schaeffler Group
344,John Simplot,92.0,male,3.6,North America,J.R. Simplot Company
203,Shin Kyuk-Ho,,,3.6,East Asia,
200,Curt Engelhorn,69.0,male,3.6,Europe,BASF/Boehringer Mannheim/DePuy
198,Gregorio Perez Companc,61.0,male,3.6,Latin America,Petrolera Perez Companc
349,Ng Teng Fong,72.0,male,3.5,East Asia,Far East Organization
1316,Bernard Marcus,84.0,male,3.5,North America,Home Depot
1322,Leon G. Cooperman,70.0,male,3.5,North America,Omega Advisors
1321,Keiichiro Takahara,82.0,male,3.5,East Asia,Unicharm
1320,Jamshyd Godrej,65.0,male,3.5,South Asia,Godrej Group
1319,"H. Ross Perot, Sr.",83.0,male,3.5,North America,Electronic Data Systems
1318,George Bishop,77.0,male,3.5,North America,GeoSouthern
1317,Evan Williams,41.0,male,3.5,North America,Twitter
1315,Andreas Struengmann,64.0,male,3.5,Europe,Hexal AG
217,Sakip Sabanci,63.0,male,3.5,Middle East/North Africa,Sabanci Holdings
1314,Adi Godrej,71.0,male,3.5,South Asia,Godrej Group
1324,Lu Guanqiu,69.0,male,3.5,East Asia,Wanxiang Group
347,Craig McCaw,51.0,male,3.5,North America,McCaw Cellular
348,Kazuo Okada,58.0,male,3.5,East Asia,Wynn Resorts
207,James Arthur and John Irving,,male,3.5,North America,J.D. Irving
215,Wang Yue-che,79.0,male,3.5,East Asia,Formosa Plastics
346,Antonio Ermirio de Moraes,,male,3.5,Latin America,Votorantim Group
213,Philip Niarchos,42.0,male,3.5,Europe,Niarchos Ltd
1325,Masatoshi Ito,89.0,male,3.5,East Asia,Ito-Yokado
350,Nicolas Hayek,72.0,male,3.5,Europe,Swatch Group
352,Sakip Sabanci,68.0,male,3.5,Middle East/North Africa,Sabanci Holdings
353,Stephan Schmidheiny,53.0,male,3.5,Europe,Holcim
1326,Prince Sultan bin Mohammed bin Saud Al Kabeer,60.0,male,3.5,Middle East/North Africa,Almarai
351,Reinhold Wuerth,,male,3.5,Europe,Adolf Wurth Group
1323,Lorenzo Mendoza,48.0,male,3.5,Latin America,Empresas Polar
1331,Zygmunt Solorz-Zak,57.0,male,3.5,Europe,Polsat
1330,Yvonne Bauer,36.0,female,3.5,Europe,Bauer Media Group
1329,Thomas Struengmann,64.0,male,3.5,Europe,Hexal AG
1328,Sri Prakash Lohia,61.0,male,3.5,East Asia,Indorama Corporation
1327,Rosa Anna Magno Garavoglia,,female,3.5,Europe,Gruppo Campari
1386,Wolfgang Marguerre,73.0,male,3.4,Europe,Octapharma
1370,Andrei Guriev,53.0,male,3.4,Europe,Apatit
378,Gerard Louis-Dreyfus,68.0,male,3.4,Europe,Louis Dreyfus Group
377,Dhirubhai Ambani,,male,3.4,South Asia,Reliance
1385,Tamara Gustavson,52.0,female,3.4,North America,Public Storage
376,David Geffen,58.0,male,3.4,North America,Asylum Records/Geffen Records/Dreamworks
375,Charles Bronfman,69.0,male,3.4,North America,Seagrams
1384,Sun Guangxin,51.0,male,3.4,East Asia,Xinjiang Guanghui Industry Investment Group
374,Ann Kroenke,,female,3.4,North America,Walmart
379,James Sorenson,79.0,male,3.4,North America,Sorenson Companies
1371,Chung Eui-Sun,43.0,male,3.4,East Asia,Hyundai
229,Sumner Redstone,72.0,male,3.4,North America,National Amusements
1379,John Gandel,79.0,male,3.4,North America,Chadstone Shopping Center
1377,Jim Davis,70.0,male,3.4,North America,New Balance
1376,Han Chang-Woo,83.0,male,3.4,East Asia,Maruhan
224,Kirk Kerkorian,78.0,male,3.4,North America,MGM Grand
1380,Lin Yu-lin,78.0,male,3.4,East Asia,Hong Tai Group
1375,Haim Saban,69.0,male,3.4,North America,Saban Entertainment
1374,Fredrik Lundberg,62.0,male,3.4,Europe,LE Lundbergforetagen AB
1373,"Edward Roski, Jr.",75.0,male,3.4,North America,Majestic Realty Co.
1381,Rafael Del Pino y Calvo-Sotelo,55.0,male,3.4,Europe,Ferrovial
1382,Ronda Stryker,59.0,female,3.4,North America,Stryker Corporation
1383,Steven Spielberg,67.0,male,3.4,North America,DreamWorks
1372,Daniela Herz,60.0,female,3.4,Europe,Maxingvest AG
221,Erivan Haub,63.0,male,3.4,Europe,Tenglemann Group
222,Tiong Hiew King,60.0,male,3.4,East Asia,Rimbunan Hijau Group
1378,John Doerr,62.0,male,3.4,North America,Kleinter Perkins Caufield & Byers
255,Henry Ross Perot Sr,,male,3.3,North America,Electronic Data Systems
390,Edgar Bronfman,72.0,male,3.3,North America,Seagrams
387,Akira Mori,66.0,male,3.3,East Asia,Mori Building
388,Amos Hosetter Jr,64.0,male,3.3,North America,Continental Cablevision
389,Bernard Marcus,71.0,male,3.3,North America,Home Depot
391,Eitaro Itoyama,58.0,male,3.3,East Asia,
392,Martin Ebner,,male,3.3,Europe,BZ Bank
393,Ronald Perelman,58.0,male,3.3,North America,MacAnderws and Forbes Holdings
394,Ryoichi Jinnai,74.0,male,3.3,East Asia,Promise Consumer Finance
1408,Terrence Pegula,63.0,male,3.3,North America,East Resources
1409,Wolfgang Reimann,61.0,male,3.3,Europe,Benckiser
1406,Stefan Reimann-Andersen,50.0,male,3.3,Europe,Benckiser
1407,Stephan Schmidheiny,66.0,male,3.3,Europe,Holcim
1391,David Consunji,92.0,male,3.3,East Asia,DMCI
1400,Otto Happel,66.0,male,3.3,Europe,GEA Group
1399,Mikhail Gutseriev,55.0,male,3.3,Europe,Russneft
1398,Matthias Reimann-Andersen,48.0,male,3.3,Europe,Benckiser
1397,Marc Benioff,49.0,male,3.3,North America,salesforce.com
1396,Jean Pierre Cayard,71.0,male,3.3,Europe,La Martiniquaise
1395,Israel Englander,65.0,male,3.3,North America,Millennium Management LLC
1393,Francis Choi,66.0,male,3.3,East Asia,Early Light International
1392,Doris Fisher,82.0,female,3.3,North America,The Gap
1390,Daryl Katz,52.0,male,3.3,North America,Katz Group
1402,Renate Reimann-Haas,62.0,female,3.3,Europe,Benckiser
1389,Clayton Riddell,76.0,male,3.3,North America,Paramount Resources
1388,Antti Herlin,57.0,male,3.3,Europe,Kone Corporation
1387,Aloysio de Andrade Faria,93.0,male,3.3,Latin America,Banco Real
242,Garry Weston,,male,3.3,Europe,George Weston Limited
240,Quek Leng Chan,55.0,male,3.3,East Asia,Hong Leong Financial Group
238,Nina Wang,,female,3.3,East Asia,Chinachem Group
234,Rolf Gerling,41.0,male,3.3,Europe,Gerling Konzern
230,Denis Defforey,,male,3.3,Europe,Carrefour
1401,Phillip Frost,77.0,male,3.3,North America,Opko Health
1394,Fu Liquan,46.0,male,3.3,East Asia,Zhejiang Dahua Technology
1403,Renzo Rosso,58.0,male,3.3,Europe,Diesel
1404,Samuel Yin,63.0,male,3.3,East Asia,Ruentex Group
1405,Sarik Tara,83.0,male,3.3,Middle East/North Africa,Enka insaat ve Sanayi
256,Keizo Saji,,male,3.2,East Asia,Suntory
1465,Heidi Horten,73.0,female,3.2,Europe,Horten AG
419,Philippe Foriel-Destezet,65.0,male,3.2,Europe,Adecco
420,Preston Tisch,74.0,male,3.2,North America,Loews Corporation
257,Rupert Murdoch,65.0,male,3.2,North America,News Limited
421,Ronald Lauder,59.0,male,3.2,North America,Est?Lauder
1466,Issad Rebrab,70.0,male,3.2,Middle East/North Africa,CEVITAL
1463,George Lindemann,77.0,male,3.2,North America,"Vision Cable, Metro Mobile, Southern Union"
1464,Gianluigi Aponte,,male,3.2,Europe,MSC
417,Doris Fisher,70.0,female,3.2,North America,The Gap
1462,Frederick Smith,69.0,male,3.2,North America,FedEx
1461,Desh Bandhu Gupta,76.0,male,3.2,South Asia,Lupin Limited
414,Charles Koch,65.0,male,3.2,North America,Koch industries
1460,Christoffel Wiese,72.0,male,3.2,Sub-Saharan Africa,Shoprite
418,Karl-Heinz Kipp,77.0,male,3.2,Europe,Massa
416,Donald Fisher,72.0,male,3.2,North America,The Gap
1467,"James Cargill, II.",64.0,male,3.2,North America,Cargill
1468,"Julian Robertson, Jr.",82.0,male,3.2,North America,Tiger Management Corp
1469,Liu Yonghao,62.0,male,3.2,East Asia,New Hope Group
1470,Lu Xiangyang,51.0,male,3.2,East Asia,BYD
1471,Marianne Liebmann,60.0,female,3.2,North America,Cargill
1459,"Austen Cargill, II.",63.0,male,3.2,North America,Cargill
1472,Rafaela Aponte,,female,3.2,Europe,MSC
1473,Spiro Latsis,67.0,male,3.2,Europe,EFG International
1474,Victor Pinchuk,53.0,male,3.2,Europe,Interpipe
415,David Koch,60.0,male,3.2,North America,Koch industries
261,Jay Van Andel,71.0,male,3.2,North America,Amway
258,Richard DeVos,70.0,male,3.2,North America,Amway
1496,Roger Wang,65.0,male,3.1,North America,Golden Eagle International Group
1494,Najib Mikati,58.0,male,3.1,Middle East/North Africa,Investcom
1495,Peter Kellogg,71.0,male,3.1,North America,"Spear, Leeds & Kellogg"
1500,Syed Mokhtar AlBukhary,62.0,male,3.1,East Asia,MMC Corp./DRBHicom
1497,Shi Yuzhu,51.0,male,3.1,East Asia,Giant Interactive
1498,Stanley Druckenmiller,60.0,male,3.1,North America,Duquesne Capital
1499,Stelios Haji-Ioannou,47.0,male,3.1,Europe,Easy Jet
1501,Taha Mikati,69.0,male,3.1,Middle East/North Africa,Investcom
1502,Theo Mueller,74.0,male,3.1,Europe,Muller
1503,Wang Yung-Tsai,93.0,male,3.1,East Asia,Formosa Plastics
1504,"William Conway, Jr.",64.0,male,3.1,North America,Carlyle Group
1505,Yitzhak Tshuva,65.0,male,3.1,Middle East/North Africa,El-Ad Group
1492,Mohamed Mansour,66.0,male,3.1,Middle East/North Africa,Mansour Group
1493,Mohammed Al Issa,89.0,male,3.1,Middle East/North Africa,Savola Group
1477,Anthony Pritzker,53.0,male,3.1,North America,Hyatt
1491,Maria Helena Moraes Scripilliti,83.0,female,3.1,Latin America,Votorantim Group
1480,Daniel D'Aniello,67.0,male,3.1,North America,Carlyle Group
1475,Alexander Svetakov,46.0,male,3.1,Europe,Absolut
1476,Andre Esteves,45.0,male,3.1,Latin America,BTG Pactual
1478,Antonio Ermirio de Moraes,85.0,male,3.1,Latin America,Votorantim Group
262,August von Finck,65.0,male,3.1,Europe,"Allianz, Merk Finck & Co"
265,Michael and Rainer Schmidt-Ruthenbeck,,male,3.1,Europe,Metro AG
266,Stanley Ho,74.0,male,3.1,East Asia,Sociedade de Turismo e Divers?es de Macau
270,Kyosuke Kinoshita,55.0,male,3.1,East Asia,Acom
272,Chatri Sophonpanich,,male,3.1,East Asia,Bangkok Bank
278,Peter Haas Sr,,male,3.1,North America,Levi Strauss & co
439,William Wrigley,37.0,male,3.1,North America,Wm Wrigley Jr. Company
438,Rafik Al-Hariri,57.0,male,3.1,Middle East/North Africa,Saudi Oger
436,Gianni Agnelli,,male,3.1,Europe,Fiat
435,Ennio Doris,60.0,male,3.1,Europe,Mediolanum SpA
1479,Archie Aldis Emmerson,84.0,male,3.1,North America,Sierra Pacific Industries
437,Lester Crown,75.0,male,3.1,North America,General Dynamics
1481,David Azrieli,91.0,male,3.1,North America,Azrieli Group
1485,Hans Peter Wild,72.0,male,3.1,Europe,?Rudolf WILD GmbH & Co. KG
1490,Judy Faulkner,70.0,female,3.1,North America,Epic Systems
1488,Jay Robert (J.B.) Pritzker,49.0,male,3.1,North America,Hyatt
1487,James Jannard,64.0,male,3.1,North America,"Oakley, Inc"
1486,Isaac Perlmutter,71.0,male,3.1,North America,Marvel Entertainment
1489,"Jeremy Jacobs, Sr.",74.0,male,3.1,North America,Delaware North Companies
1484,Ermirio Pereira de Moraes,81.0,male,3.1,Latin America,Votorantim Group
1483,Eddie & Sol Zakay,63.0,male,3.1,Europe,Topland Group
1482,David Rubenstein,64.0,male,3.1,North America,Carlyle Group
451,A Jerrold Perenchio,70.0,male,3.0,North America,Univision
459,Robert Bass,53.0,male,3.0,North America,Sid Richardson Gasoline Co
1530,S. Curtis Johnson,58.0,male,3.0,North America,S. C. Johnson & Son
1531,Samuel Tak Lee,74.0,male,3.0,East Asia,Prudential Enterprise
1532,Tang Yiu,80.0,male,3.0,East Asia,Belle Holdings
1533,Wang Yusuo,49.0,male,3.0,East Asia,ENN Energy Group
1534,Winnie Johnson-Marquart,54.0,female,3.0,North America,S. C. Johnson & Son
460,Saleh Kamel,59.0,male,3.0,Middle East/North Africa,Dallah al Baraka Group
458,Riley Bechtel,48.0,male,3.0,North America,Bechtel Corporation
1528,Peter Buck,83.0,male,3.0,North America,Subway
452,Emilio Azcarraga Jean,33.0,male,3.0,Latin America,Grupo Televisa
457,Ricardo Salinas Pliego,45.0,male,3.0,Latin America,Grupo Salinas/Group Elektra
456,Mohammed Jameel,,male,3.0,Middle East/North Africa,Abdul Latif Jameel Co. Ltd
461,Stephen Bechtel,75.0,male,3.0,North America,Bechtel Corporation
453,George Lucas,56.0,male,3.0,North America,Lucasfilm
1529,"Robert Rich, Jr.",73.0,male,3.0,North America,Rich Products Corporation
1507,"Amos Hostetter, Jr.",77.0,male,3.0,North America,Continental Cablevision
1527,Paul Ramsay,78.0,male,3.0,North America,Ramsay Health Care
1506,Alexander Nesis,51.0,male,3.0,Europe,ICT Group
1514,Harry Stine,72.0,male,3.0,North America,The Stine Seed Group
1526,Michel Leclercq,74.0,male,3.0,Europe,Oxylane
1513,H. Fisk Johnson,55.0,male,3.0,North America,S. C. Johnson & Son
1512,Friedhelm Loh,67.0,male,3.0,Europe,Loh Group
1511,Fred DeLuca,66.0,male,3.0,North America,Subway
1510,Edward Lampert,51.0,male,3.0,North America,ESL Investment
1509,Brian Acton,42.0,male,3.0,North America,WhatsApp
